row,1,2,3,4,5,6,7,8,9,10,11,12
A,NA,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
B,NA,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
C,NA,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
D,NA,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
E,NA,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
F,NA,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
G,NA,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM,ascr5.800nM
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
