row,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,TRUE,TRUE,,TRUE,TRUE,,TRUE,TRUE,,TRUE,TRUE,
C,,TRUE,,,,TRUE,,,,,,
D,TRUE,,,,,TRUE,,,,,,
E,,,,,,,,,,,TRUE,
F,,,,,,,,,,,,
G,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
H,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
