row,1,2,3,4,5,6,7,8,9,10,11,12
A,N2A,N2A,N2A,N2A,N2A,N2A,N2A,N2A,N2A,N2A,N2A,NA
B,882A,882A,882A,882A,882A,882A,882A,882A,882A,882A,882A,NA
C,1375A,1375A,1375A,1375A,1375A,1375A,1375A,1375A,1375A,1375A,1375A,NA
D,1376A,1376A,1376A,1376A,1376A,1376A,1376A,1376A,1376A,1376A,1376A,NA
E,N2B,N2B,N2B,N2B,N2B,N2B,N2B,N2B,N2B,N2B,N2B,NA
F,882B,882B,882B,882B,882B,882B,882B,882B,882B,882B,882B,NA
G,1375B,1375B,1375B,1375B,1375B,1375B,1375B,1375B,1375B,1375B,1375B,NA
H,1376B,1376B,1376B,1376B,1376B,1376B,1376B,1376B,1376B,1376B,1376B,NA
