row,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,TRUE,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,TRUE,,TRUE,,
E,,,,,,,,,,,,
F,,TRUE,,,TRUE,,,,,,,
G,TRUE,,,,,,TRUE,,,,,
H,TRUE,,,,,,,,,,,
