row,1,2,3,4,5,6,7,8,9,10,11,12
A,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,NA
B,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,NA
C,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,NA
D,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,NA
E,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,NA
F,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,NA
G,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,NA
H,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,etoposide,NA
