row,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,TRUE,TRUE,TRUE,TRUE,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
