row,1,2,3,4,5,6,7,8,9,10,11,12
A,N2,N2,N2,N2,N2,N2,N2,N2,N2,N2,N2,NA
B,CB4856,CB4856,CB4856,CB4856,CB4856,CB4856,CB4856,CB4856,CB4856,CB4856,CB4856,NA
C,ECA413,ECA413,ECA413,ECA413,ECA413,ECA413,ECA413,ECA413,ECA413,ECA413,ECA413,NA
D,ECA452,ECA452,ECA452,ECA452,ECA452,ECA452,ECA452,ECA452,ECA452,ECA452,ECA452,NA
E,ECA471,ECA471,ECA471,ECA471,ECA471,ECA471,ECA471,ECA471,ECA471,ECA471,ECA471,NA
F,ECA529,ECA529,ECA529,ECA529,ECA529,ECA529,ECA529,ECA529,ECA529,ECA529,ECA529,NA
G,ECA534,ECA534,ECA534,ECA534,ECA534,ECA534,ECA534,ECA534,ECA534,ECA534,ECA534,NA
H,ECA543,ECA543,ECA543,ECA543,ECA543,ECA543,ECA543,ECA543,ECA543,ECA543,ECA543,NA
